Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
New Jersey Nets*,40,42,.488,11.0,105.4,107.1,-1.54,,1992
Miami Heat*,38,44,.463,13.0,105.0,109.2,-3.94,,1992
Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,,1992
Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,,1992
Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,,1992
Chicago Bulls*,67,15,.817,—,109.9,99.5,10.07,,1992
Cleveland Cavaliers*,57,25,.695,10.0,108.9,103.4,5.34,,1992
Detroit Pistons*,48,34,.585,19.0,98.9,96.9,2.06,,1992
Indiana Pacers*,40,42,.488,27.0,112.2,110.3,1.85,,1992
Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,,1992
Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,,1992
Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,,1992
,55,27,.671,—,108.3,101.9,5.70,Utah Jazz*,1992
,47,35,.573,8.0,104.0,100.6,2.81,San Antonio Spurs*,1992
,42,40,.512,13.0,102.0,103.7,-1.94,Houston Rockets,1992
,24,58,.293,31.0,99.7,107.6,-7.59,Denver Nuggets,1992
,22,60,.268,33.0,97.6,105.3,-7.47,Dallas Mavericks,1992
,15,67,.183,40.0,100.5,107.5,-6.85,Minnesota Timberwolves,1992
,57,25,.695,—,111.4,104.1,6.94,Portland Trail Blazers*,1992
,55,27,.671,2.0,118.7,114.8,3.77,Golden State Warriors*,1992
,53,29,.646,4.0,112.1,106.2,5.68,Phoenix Suns*,1992
,47,35,.573,10.0,106.5,104.7,1.86,Seattle SuperSonics*,1992
,45,37,.549,12.0,102.9,101.9,1.10,Los Angeles Clippers*,1992
,43,39,.524,14.0,100.4,101.5,-0.95,Los Angeles Lakers*,1992
,29,53,.354,28.0,104.3,110.3,-5.63,Sacramento Kings,1992
New York Knicks*,60,22,.732,—,101.6,95.4,5.87,,1993
Boston Celtics*,48,34,.585,12.0,103.7,102.8,0.93,,1993
New Jersey Nets*,43,39,.524,17.0,102.8,101.6,1.20,,1993
Orlando Magic,41,41,.500,19.0,105.5,104.2,1.35,,1993
Miami Heat,36,46,.439,24.0,103.6,104.7,-0.93,,1993
Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,-5.25,,1993
Washington Bullets,22,60,.268,38.0,101.9,108.9,-6.49,,1993
Chicago Bulls*,57,25,.695,—,105.2,98.9,6.19,,1993
Cleveland Cavaliers*,54,28,.659,3.0,107.7,101.3,6.30,,1993
Charlotte Hornets*,44,38,.537,13.0,110.1,110.4,-0.02,,1993
Atlanta Hawks*,43,39,.524,14.0,107.5,108.4,-0.67,,1993
Indiana Pacers*,41,41,.500,16.0,107.8,106.1,1.77,,1993
Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,,1993
Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,,1993
,55,27,.671,—,104.0,99.8,3.57,Houston Rockets*,1993
,49,33,.598,6.0,105.5,102.8,2.21,San Antonio Spurs*,1993
,47,35,.573,8.0,106.2,104.0,1.74,Utah Jazz*,1993
,36,46,.439,19.0,105.2,106.9,-2.14,Denver Nuggets,1993
,19,63,.232,36.0,98.1,105.9,-7.62,Minnesota Timberwolves,1993
,11,71,.134,44.0,99.3,114.5,-14.68,Dallas Mavericks,1993
,62,20,.756,—,113.4,106.7,6.27,Phoenix Suns*,1993
,55,27,.671,7.0,108.3,101.3,6.66,Seattle SuperSonics*,1993
